scale,model,lr,wd,early_stop_epoch,train_acc,val_acc,overfit_gap,stopped_by_patience
20h,rnn,0.001,0.0001,48,89.82478603720665,78.75824049115181,11.07,True
20h,lstm,0.001,0.0001,41,89.55208957195282,77.93709933757782,11.61,True
20h,gru,0.001,0.0001,37,89.15557935833931,77.84598246216774,11.31,True
20h,gawf,0.001,0.0001,34,85.02262681722641,77.31497660279274,7.71,True
