scale,model,lr,wd,early_stop_epoch,train_acc,val_acc,overfit_gap,train_acc_char,val_acc_char,overfit_gap_char,train_acc_sector,val_acc_sector,overfit_gap_sector,best_epoch_val_acc_sector_1based,stopped_by_patience
4h,gawf,0.001,0.001,85,92.57049635052681,70.55947482585907,22.01,92.57049635052681,70.55947482585907,22.01,94.67838853597641,85.78970804810524,8.88868048787117,75,True
4h,gru,0.001,0.001,70,92.34815388917923,58.44312459230423,33.91,92.34815388917923,58.44312459230423,33.91,93.48188191652298,85.32845675945282,8.15342515707016,38,True
4h,lstm,0.001,0.001,68,89.59939181804657,58.63342359662056,30.97,89.59939181804657,58.63342359662056,30.97,93.07665228843689,85.06404384970665,8.01260843873024,34,True
4h,rnn,0.001,0.001,70,91.02412685751915,61.07308566570282,29.95,91.02412685751915,61.07308566570282,29.95,94.58727240562439,83.98023396730423,10.60703843832016,61,True
