scale,model,lr,wd,early_stop_epoch,train_acc,val_acc,overfit_gap,stopped_by_patience
10h,rnn,0.001,0.0001,50,87.77073472738266,72.71270826458931,15.06,False
10h,lstm,0.001,0.0001,50,90.50946980714798,69.94825154542923,20.56,False
10h,gru,0.001,0.0001,41,87.20724955201149,71.45276814699173,15.75,True
10h,gawf,0.001,0.0001,45,85.74458584189415,71.82072252035141,13.92,True
