scale,model,lr,wd,early_stop_epoch,train_acc,val_acc,overfit_gap,stopped_by_patience
40h,gawf,0.0005,0.0001,150,93.63773912191391,87.9128597676754,5.72487935423851,
40h,gawf,0.0005,0.0001,144,93.80079060792923,88.91034871339798,4.89,True
40h,gru,0.0005,0.0001,150,95.54160013794899,84.54306498169899,10.99853515625,
40h,lstm,0.0005,0.0001,150,94.92340162396431,83.49260687828064,11.43079474568367,
40h,rnn,0.0005,0.0001,150,94.62105929851532,83.54143500328064,11.07962429523468,
