scale,model,lr,wd,early_stop_epoch,train_acc,val_acc,overfit_gap,train_acc_char,val_acc_char,overfit_gap_char,train_acc_sector,val_acc_sector,overfit_gap_sector,best_epoch_val_acc_sector_1based,stopped_by_patience
40h,gawf,0.0005,0.0001,67,90.31306728720665,87.97956258058548,2.33,90.31306728720665,87.97956258058548,2.33,93.99174302816391,92.9879330098629,1.0038100183010101,64,True
40h,gru,0.0005,0.0001,52,91.40864834189415,84.4979427754879,6.91,91.40864834189415,84.4979427754879,6.91,93.10716986656189,91.92788302898407,1.1792868375778198,34,True
40h,lstm,0.0005,0.0001,48,88.74620795249939,83.49260687828064,5.25,88.74620795249939,83.49260687828064,5.25,92.95697957277298,91.16734117269516,1.7896384000778198,42,True
40h,rnn,0.0005,0.0001,51,88.43885213136673,82.94655978679657,5.49,88.43885213136673,82.94655978679657,5.49,93.47229078412056,91.61006435751915,1.86222642660141,49,True
