scale,model,lr,wd,early_stop_epoch,train_acc,val_acc,overfit_gap,train_acc_char,val_acc_char,overfit_gap_char,train_acc_sector,val_acc_sector,overfit_gap_sector,best_epoch_val_acc_sector_1based,stopped_by_patience
20h,gawf,0.001,0.0001,64,91.43371656537056,84.56944078207016,6.86,91.43371656537056,84.56944078207016,6.86,94.02291476726532,91.39273539185524,2.63017937541008,62,True
20h,gru,0.001,0.0001,37,89.15557935833931,77.84598246216774,11.31,89.15557935833931,77.84598246216774,11.31,92.67229437828064,90.13650119304657,2.53579318523407,22,True
20h,lstm,0.001,0.0001,41,89.55208957195282,77.93709933757782,11.61,89.55208957195282,77.93709933757782,11.61,93.45615953207016,90.09661078453064,3.3595487475395203,34,True
20h,rnn,0.001,0.0001,48,89.82478603720665,78.75824049115181,11.07,89.82478603720665,78.75824049115181,11.07,93.31512525677681,90.14936238527298,3.16576287150383,40,True
