scale,model,lr,wd,early_stop_epoch,train_acc,val_acc,overfit_gap,train_acc_char,val_acc_char,overfit_gap_char,train_acc_sector,val_acc_sector,overfit_gap_sector,best_epoch_val_acc_sector_1based,stopped_by_patience
10h,gawf,0.001,0.0001,41,82.66296461224556,76.11541822552681,6.55,82.66296461224556,76.11541822552681,6.55,92.53910630941391,88.76604437828064,3.7730619311332703,41,True
10h,gru,0.001,0.0001,41,87.20724955201149,71.45276814699173,15.75,87.20724955201149,71.45276814699173,15.75,93.85790228843689,88.61825168132782,5.23965060710907,33,True
10h,lstm,0.001,0.0001,56,90.50946980714798,69.94825154542923,20.56,90.50946980714798,69.94825154542923,20.56,94.32220533490181,88.43296617269516,5.88923916220665,48,True
10h,rnn,0.001,0.0001,53,87.77073472738266,72.71270826458931,15.06,87.77073472738266,72.71270826458931,15.06,93.94138902425766,87.14011088013649,6.80127814412117,53,True
